tribunal_id,nombre,domicilio_sede,contacto,jurisdiccion_id,fuero
23,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL SALA 6,"Viamonte 1147, 3° P (C1053ABW), Ciudad Autónoma de Buenos Aires",Tel: 4370-4928 | Email: cncrimcorr.sala6@pjn.gov.ar,2,Criminal y Correccional
24,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL SALA 7,"Viamonte 1147, 4 piso (C1053ABW), Ciudad Autónoma de Buenos Aires, Mesa de entradas y despacho 4370-4933 y 4371-6112. Secretaria: 4370-4942",Email: cncrimcorr.sala7@pjn.gov.ar,2,Criminal y Correccional
25,CAMARA NACIONAL DE APELACIONES EN LO CRIMINAL Y CORRECCIONAL SALA AMIA,"Viamonte 1147, 6° Piso (C1053ABW), Ciudad Autónoma de Buenos Aires, 4370-4943 int. 4943",,2,Criminal y Correccional
26,CAMARA NACIONAL DE CASACION CRIMINAL Y CORRECCIONAL,"Talcahuano 624, Ciudad Autónoma de Buenos Aires, 4124-6614 4124-6616.",,2,Criminal y Correccional
27,CAMARA NACIONAL DE CASACION CRIMINAL Y CORRECCIONAL SALA 1,"Talcahuano 624, Ciudad Autónoma de Buenos Aires",Tel: 4124-6621,2,Casación Penal
28,CAMARA NACIONAL DE CASACION CRIMINAL Y CORRECCIONAL SALA 2,"Talcahuano 624, Ciudad Autónoma de Buenos Aires",Tel: 4124-6622,2,Casación Penal
29,CAMARA NACIONAL DE CASACION CRIMINAL Y CORRECCIONAL SALA 3,"Talcahuano 624, Ciudad Autónoma de Buenos Aires",Tel: 4124-6632,2,Casación Penal
30,CAMARA PENAL ECONOMICO,"Av. De Los Inmigrantes 1950, 2° Y 3° Piso (C1104ADO), Ciudad Autónoma de Buenos Aires, 4130-6165 / 4130-6166",,1,Penal Económico
31,CAMARA PENAL ECONOMICO SALA A,"Av. De Los Inmigrantes 1950, 3° Piso (C1104ADO), Ciudad Autónoma de Buenos Aires",Tel: 4130-6440 | Email: cnpenalec.salaa@pjn.gov.ar,1,Penal Económico
32,CAMARA PENAL ECONOMICO SALA B,"Av. De Los Inmigrantes 1950, 3er. piso (C1104ADO), Ciudad Autónoma de Buenos Aires",Tel: 4130-6441 | Email: cnpenalec.salab@pjn.gov.ar,1,Penal Económico
33,CORTE SUPREMA DE JUSTICIA DE LA NACION SECRETARIA DE JUICIOS AMBIENTALES,Talcahuano 550 Ciudad de Buenos Aires,Tel: (11) 4370 4476,1,Criminal y Correccional
34,CORTE SUPREMA DE JUSTICIA DE LA NACION SECRETARIA JUDICIAL 3,Talcahuano 550 Ciudad de Buenos Aires,Tel: (11) 4370 4626,1,Criminal y Correccional
35,CORTE SUPREMA DE JUSTICIA DE LA NACION SECRETARIA JUDICIAL DE RELACIONES DE CONSUMO,Talcahuano 550 Ciudad de Buenos Aires,Tel: (11) 4370 4285,1,Civil y Comercial
36,CORTE SUPREMA DE JUSTICIA DE LA NACION SECRETARIA PENAL ESPECIAL,Talcahuano 550 Ciudad de Buenos Aires,,1,Criminal y Correccional
37,JUZGADO CRIM. Y CORR. FEDERAL DE LA PLATA 3,,,1,Criminal y Correccional
38,JUZGADO CRIMINAL Y CORRECCIONAL 1,"Talcahuano 550, 3° P of. 3125 (C1013AAL), Ciudad Autónoma de Buenos Aires",Tel: 4372-5049 | Email: jncrimcorr1.sec105@pjn.gov.ar,2,Criminal y Correccional
39,JUZGADO CRIMINAL Y CORRECCIONAL 10,"Talcahuano 550, P 7° of. 7042 (C1013AAL), Ciudad Autónoma de Buenos Aires",Tel: 4371-8328 | Email: jncrimcorr10@pjn.gov.ar / jncrimcorr10.sec130@pjn.gov.ar,2,Criminal y Correccional
40,JUZGADO CRIMINAL Y CORRECCIONAL 11,"Talcahuano 550, P 5° of. 5056/57 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-2818 / 4373-8101",Email: jncrimcorr11.sec133@pjn.gov.ar,2,Criminal y Correccional
41,JUZGADO CRIMINAL Y CORRECCIONAL 12,"Talcahuano 550, P 5° of. 5019 (C1013AAL), Ciudad Autónoma de Buenos Aires",Tel: 4371-6850 | Email: jncrimcorr12@pjn.gov.ar / jncrimcorr12.admin@pjn.gov.ar,2,Criminal y Correccional
42,JUZGADO CRIMINAL Y CORRECCIONAL 13,"Talcahuano 550, P 5° of. 5127 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-4247 / 6960",Email: jncrimcorr13.sec140@pjn.gov.ar / jncrimcorr13@pjn.gov.ar,2,Criminal y Correccional
43,JUZGADO CRIMINAL Y CORRECCIONAL 14,"Talcahuano 550, 5° P of. 5038/39 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4374-7451 / 7344",Email: jncrimcorr14@pjn.gov.ar,2,Criminal y Correccional
44,JUZGADO CRIMINAL Y CORRECCIONAL 15,"Talcahuano 550, 5° P of. 5047 (C1013AAL), Ciudad Autónoma de Buenos Aires",Tel: 4372-8608 | Email: jncrimcorr15@pjn.gov.ar,2,Criminal y Correccional
45,JUZGADO CRIMINAL Y CORRECCIONAL 16,"Talcahuano 550, 7° Piso Of 7062 (C1013AAL), Ciudad Autónoma de Buenos Aires",Tel: 4371-9513 | Email: jncrimcorr16@pjn.gov. ar,2,Criminal y Correccional
46,JUZGADO CRIMINAL Y CORRECCIONAL 17,"Talcahuano 550, 5° P of. 5032 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-7498/6790",Email: jncrimcorr17@pjn.gov.ar,2,Criminal y Correccional
47,JUZGADO CRIMINAL Y CORRECCIONAL 18,"Talcahuano 550, 5° P of. 5145 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-0564 / 4229",Email: jncrimcorr18@pjn.gov.ar / jncrimcorr18.admin@pjn.gov.ar,2,Criminal y Correccional
48,JUZGADO CRIMINAL Y CORRECCIONAL 19,"Talcahuano 550, 5° P of. 5010 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4373-3312 / 4372-1741",Email: jncrimcorr19@pjn.gov.ar,2,Criminal y Correccional
49,JUZGADO CRIMINAL Y CORRECCIONAL 2,"Talcahuano 550, 3° P of 3085 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-6382/2975",Email: jncrimcorr2.sec107@pjn.gov.ar / jncrimcorr2@pjn.gov.ar,2,Criminal y Correccional
50,JUZGADO CRIMINAL Y CORRECCIONAL 20,"Talcahuano 550, 5° P of. 5147 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372-5504 / 4371-7609",Email: jncrimcorr20@pjn.gov.ar,2,Criminal y Correccional
51,JUZGADO CRIMINAL Y CORRECCIONAL 21,"Talcahuano 550, 5° P of. 5131 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-3155 / 4373-6082",Email: jncrimcorr21@pjn.gov.ar / jncrimcorr21.sec165@pjn.gov.ar,2,Criminal y Correccional
52,JUZGADO CRIMINAL Y CORRECCIONAL 22,"Talcahuano 550, 7° Piso Of.:7060 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-0509 / 4371-0487",Email: jncrimcorr22.sec148@pjn.gov.ar,2,Criminal y Correccional
53,JUZGADO CRIMINAL Y CORRECCIONAL 23,"Talcahuano 550, 5º P Of. 5026/7 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372-8434 Mesa de Entradas / 15-4190-8741 / 4372-1348",Email: jncrimcorr23@pjn.gov.ar,2,Criminal y Correccional
54,JUZGADO CRIMINAL Y CORRECCIONAL 24,"Talcahuano 550, 7° P of. 7047 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4373-6969 / 4371-6676 y 4372-2655",Email: jncrimcorr24@pjn.gov.ar,2,Criminal y Correccional
55,JUZGADO CRIMINAL Y CORRECCIONAL 25,"Talcahuano 550, 5° P of. 5007 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372-0327 / 4678 y 4374-9220",Email: jncrimcorr25.sec161@pjn.gov.ar,2,Criminal y Correccional
56,JUZGADO CRIMINAL Y CORRECCIONAL 26,"Talcahuano 550, 5° P of. 5138 (C1013AAL), Ciudad Autónoma de Buenos Aires, 43721546 / 43718164 / 43749015",Email: jncrimcorr26@pjn.gov.ar,2,Criminal y Correccional
57,JUZGADO CRIMINAL Y CORRECCIONAL 27,"Talcahuano 550, 3° P of. 3076/3067 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-3575 / 4374-8273",Email: jncrimcorr27@pjn.gov.ar,2,Criminal y Correccional
58,JUZGADO CRIMINAL Y CORRECCIONAL 28,"Talcahuano 550, 5° P of. 5093 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4374-1550 / 4374-7534 / 4373-4648",Email: jncrimcorr28.sec142@pjn.gov.ar / jncrimcorr28@pjn.gov.ar,2,Criminal y Correccional
59,JUZGADO CRIMINAL Y CORRECCIONAL 29,"Talcahuano 550, 5° P of. 5137 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-7405 / 6923 4374-0632 (Sec. Privada)",Email: jncrimcorr29.sec152@pjn.gov.ar / jncrimcorr29@pjn.gov.ar,2,Criminal y Correccional
60,JUZGADO CRIMINAL Y CORRECCIONAL 3,"Talcahuano 550, 5° P Puerta 5079 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372 4679 /4371 8207 y 4371 5363",Email: jncrimcorr3.sec110@pjn.gov.ar / jncrimcorr3@pjn.gov.ar,2,Criminal y Correccional
61,JUZGADO CRIMINAL Y CORRECCIONAL 30,"Talcahuano 550, 7° P of. 7074 (C1013AAL), Ciudad Autónoma de Buenos Aires, 43717496 / 43733740 / 43724324 (Fax 43724279)",Email: jncrimcorr30.sec164@pjn.gov.ar / jncrimcorr30@pjn.gov.ar,2,Criminal y Correccional
62,JUZGADO CRIMINAL Y CORRECCIONAL 31,"Talcahuano 550, P 3° of 3117 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4374-2582 / 4371-9593",Email: jncrimcorr31.sec119@pjn.gov.ar / jncrimcorr31@pjn.gov.ar,2,Criminal y Correccional
63,JUZGADO CRIMINAL Y CORRECCIONAL 32,"Lavalle 1171, 3° P (C1048AAC), Ciudad Autónoma de Buenos Aires, 4124-0997 / 9 / 8 / 6 / 5 / 4 / 3 / 2",Email: jncrimcorr32@pjn.gov.ar,2,Criminal y Correccional
64,JUZGADO CRIMINAL Y CORRECCIONAL 33,"Talcahuano 550, 5° P of. 5109 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-4599 / 6815",Email: jncrimcorr33@pjn.gov.ar,2,Criminal y Correccional
65,JUZGADO CRIMINAL Y CORRECCIONAL 34,"Talcahuano 550, 3° P of. 3125 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372-1126 / 4371-1322 / 4371-3964",Email: jncrimcorr34@pjn.gov.ar / jncrimcorr34.sec117@pjn.gov.ar,2,Criminal y Correccional
66,JUZGADO CRIMINAL Y CORRECCIONAL 35,"Talcahuano 550, 7° P of. 7048 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372-7693 / 4373-6903",Email: jncrimcorr35.sec120@pjn.gov.ar / jncrimcorr35@pjn.gov.ar,2,Criminal y Correccional
67,JUZGADO CRIMINAL Y CORRECCIONAL 36,"Talcahuano 550, 3° P of. 3081 y 3128 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4372-1370 / 4371-6432",Email: jncrimcorr36@pjn.gov.ar,2,Criminal y Correccional
68,JUZGADO CRIMINAL Y CORRECCIONAL 37,"Talcahuano 550, 7° P of. 7040 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4374-2767 / 4371-9413",Email: jncrimcorr37@pjn.gov.ar,2,Criminal y Correccional
69,JUZGADO CRIMINAL Y CORRECCIONAL 38,"Talcahuano 550, 5° P of. 5051 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-2141 / 4371-7659 / 4373-4715",Email: jncrimcorr38@pjn.gov.ar / jncrimcorr38.sec132@pjn.gov.ar,2,Criminal y Correccional
70,JUZGADO CRIMINAL Y CORRECCIONAL 39,"Lavalle 1171, PB (C1048AAC), Ciudad Autónoma de Buenos Aires, 43792195 / 43792196 / 43792197",Email: jncrimcorr39@pjn.gov.ar / jncrimcorr39.sec135@pjn.gov.ar,2,Criminal y Correccional
71,JUZGADO CRIMINAL Y CORRECCIONAL 4,"Talcahuano 550, 7° P 0f.7079 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4374-4368 / 4371-0503",Email: jncrimcorr4@pjn.gov.ar,2,Criminal y Correccional
72,JUZGADO CRIMINAL Y CORRECCIONAL 40,"Talcahuano 550, 5° P of. 5086 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-2161 / 4373-5997",Email: jncrimcorr40@pjn.gov.ar / jncrimcorr40.sec139@pjn.gov.ar,2,Criminal y Correccional
73,JUZGADO CRIMINAL Y CORRECCIONAL 41,"Talcahuano 550, 5° P of. 5074 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-2829 / 4371-7763 / 4374-4107 / 4373-0548",Email: jncrimcorr41@pjn.gov.ar,2,Criminal y Correccional
74,JUZGADO CRIMINAL Y CORRECCIONAL 42,"Talcahuano 550, 5° P of. 5142 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4373-1322 / 4371–3903 / 4371-3944",Email: jncrimcorr42@pjn.gov.ar / jncrimcorr42.sec106@pjn.gov.ar,2,Criminal y Correccional
75,JUZGADO CRIMINAL Y CORRECCIONAL 43,"Juncal 941, 2° P. (C1062ABG), Ciudad Autónoma de Buenos Aires, 4032-7203 / 7205 / 7198",Email: jncrimcorr43@pjn.gov.ar,2,Criminal y Correccional
76,JUZGADO CRIMINAL Y CORRECCIONAL 44,"Comodoro Py 2002, P.B. (C1104BEN), Ciudad Autónoma de Buenos Aires, 4032-7208 /09 /10 /11 /12",Email: jncrimcorr44.sec115@pjn.gov.ar / jncrimcorr44@pjn.gov.ar,2,Criminal y Correccional
77,JUZGADO CRIMINAL Y CORRECCIONAL 45,"Lavalle 1171, 2° P (C1048AAC), Ciudad Autónoma de Buenos Aires, 4379-2108 /2102",Email: jncrimcorr45.sec122@pjn.gov.ar / jncrimcorr45@pjn.gov.ar,2,Criminal y Correccional
78,JUZGADO CRIMINAL Y CORRECCIONAL 46,"Talcahuano 550, 8° P of. 8001, 8002, 8003 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-0479 / 4371-0368",Email: jncrimcorr46.sec134@pjn.gov.ar,2,Criminal y Correccional
79,JUZGADO CRIMINAL Y CORRECCIONAL 47,"Talcahuano 550, 5° P of. 5105 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4373-0149 / 4371-6299",Email: jncrimcorr47@pjn.gov.ar,2,Criminal y Correccional
80,JUZGADO CRIMINAL Y CORRECCIONAL 48,"Lavalle 1171, P.B. (C1048AAC), Ciudad Autónoma de Buenos Aires, (Fax 4379-2157)",Email: jncrimcorr48@pjn.gov.ar,2,Criminal y Correccional
81,JUZGADO CRIMINAL Y CORRECCIONAL 49,"Lavalle 1171, 5° P (C1048AAC), Ciudad Autónoma de Buenos Aires, 4379-2161 /59 /58",Email: jncrimcorr49@pjn.gov.ar,2,Criminal y Correccional
82,JUZGADO CRIMINAL Y CORRECCIONAL 5,"Talcahuano 550, P 6° of. 6008 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-3774 / 7461",Email: jncrimcorr5@pjn.gov.ar,2,Criminal y Correccional
83,JUZGADO CRIMINAL Y CORRECCIONAL 50,"Lavalle 1638, 3° P (C1048AAN), Ciudad Autónoma de Buenos Aires, 2205-8032 / 8062",Email: jncrimcorr50@pjn.gov.ar,2,Criminal y Correccional
84,JUZGADO CRIMINAL Y CORRECCIONAL 51,"Lavalle 1638, 4° P (C1048AAN), Ciudad Autónoma de Buenos Aires",Tel: 2205-8048 | Email: jncrimcorr51@pjn.gov.ar,2,Criminal y Correccional
85,JUZGADO CRIMINAL Y CORRECCIONAL 52,"Lavalle 1638, 1° y 2° P (C1048AAN), Ciudad Autónoma de Buenos Aires, 2205 8006 /8007 /8008",Email: jncrimcorr52@pjn.gov.ar,2,Criminal y Correccional
86,JUZGADO CRIMINAL Y CORRECCIONAL 53,"Juncal 941, 1° P (C1062ABG), Ciudad Autónoma de Buenos Aires, 4327-0626 -mesa de entradas- y 4327-0907",Email: jncrimcorr53@pjn.gov.ar - jncrimcorr53.sec66@pjn.gov.ar,2,Criminal y Correccional
87,JUZGADO CRIMINAL Y CORRECCIONAL 54,"Lavalle 1638, 5º, 6° y 7° (mesa de entradas) piso (C1048AAN), Ciudad Autónoma de Buenos Aires, 2205-8058 / 2205-8074 /75 /76 /66 /82",Email: jncrimcorr54@pjn.gov.ar / jncrimcorr54.sec73@pjn.gov.ar,2,Criminal y Correccional
88,JUZGADO CRIMINAL Y CORRECCIONAL 55,"Lavalle 1638, 1° Y 3° P (C1048AAN), Ciudad Autónoma de Buenos Aires, Mesa de entradas 2205-8026/8083 Secretaría Privada 2205-8030",Email: jncrimcorr55@pjn.gov.ar / jncrimcorr55.admin@pjn.gov.ar,2,Criminal y Correccional
89,JUZGADO CRIMINAL Y CORRECCIONAL 56,"Lavalle 1638, 4° P, al lado del ascensor (C1048AAN), Ciudad Autónoma de Buenos Aires",Tel: 2205-8042 | Email: jncrimcorr56@pjn.gov.ar / jncrimcorr56.admin@pjn.gov.ar,2,Criminal y Correccional
90,JUZGADO CRIMINAL Y CORRECCIONAL 57,"Lavalle 1638, 1/2 piso (C1048AAN), Ciudad Autónoma de Buenos Aires, 2205-8017 / 2205-8001",Email: jncrimcorr57@pjn.gov.ar,2,Criminal y Correccional
91,JUZGADO CRIMINAL Y CORRECCIONAL 58,"Juncal 941, 3° P. (C1062ABG), Ciudad Autónoma de Buenos Aires, 4322-1346 / 4327-0694/ 0253 / 4328-9892",Email: jncrimcorr58@pjn.gov.ar / jncrimcorr58.admin@pjn.gov.ar,2,Criminal y Correccional
92,JUZGADO CRIMINAL Y CORRECCIONAL 59,"Lavalle 1638, 5° P (C1048AAN), Ciudad Autónoma de Buenos Aires, 2205-8059 /60",Email: jncrimcorr59@pjn.gov.ar,2,Criminal y Correccional
93,JUZGADO CRIMINAL Y CORRECCIONAL 6,"Talcahuano 550, P 3° Puerta 3129 (C1013AAL), Ciudad Autónoma de Buenos Aires",Tel: 43713022 | Email: jncrimcorr6.sec118@pjn.gov.ar / jncrimcorr6@pjn.gov.ar,2,Criminal y Correccional
94,JUZGADO CRIMINAL Y CORRECCIONAL 60,"Av. De Los Inmigrantes 1950, 3° P Puerta 330 (C1104ADO), Ciudad Autónoma de Buenos Aires, 4130-6333 /6332",Email: jncrimcorr60@pjn.gov.ar / jncrimcorr60.admin@pjn.gov.ar,2,Criminal y Correccional
95,JUZGADO CRIMINAL Y CORRECCIONAL 61,"Av. De Los Inmigrantes 1950, 3° P Puerta 320 (C1104ADO), Ciudad Autónoma de Buenos Aires, 4130-6347 /8 /9 y 4130-6330 - Urgencias fuera de horario y día hábil 116512-8999 / 114889-7507 (Fax 4130-6328)",Email: jncrimcorr61@pjn.gov.ar,2,Criminal y Correccional
96,JUZGADO CRIMINAL Y CORRECCIONAL 62,"Av. De Los Inmigrantes 1950, piso 3°, oficina 356 /358 /346 (C1104ADO), Ciudad Autónoma de Buenos Aires, 4130-6337 /6338 /6339 /6538 /6535",Email: jncrimcorr62@pjn.gov.ar,2,Criminal y Correccional
97,JUZGADO CRIMINAL Y CORRECCIONAL 63,"Av. De Los Inmigrantes 1950, 3° P Puerta 342 (C1104ADO), Ciudad Autónoma de Buenos Aires, 4130-6341 / 42",Email: jncrimcorr63@pjn.gov.ar / jncrimcorr63.admin@pjn.gov.ar,2,Criminal y Correccional
98,JUZGADO CRIMINAL Y CORRECCIONAL 7,"Talcahuano 550, P 5° of. 5120/21/22 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-6571 / 6764",Email: jncrimcorr7.sec121@pjn.gov.ar / jncrimcorr7@pjn.gov.ar,2,Criminal y Correccional
99,JUZGADO CRIMINAL Y CORRECCIONAL 8,"Talcahuano 550, P 3° of. 3079 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-2701 (Secretaría) 4371-6518 (Secretaría privada)",Email: jncrimcorr8@pjn.gov.ar,2,Criminal y Correccional
100,JUZGADO CRIMINAL Y CORRECCIONAL 9,"Talcahuano 550, P 5° of. 5103 (C1013AAL), Ciudad Autónoma de Buenos Aires, 4371-4451 / 6366",Email: jncrimcorr9@pjn.gov.ar,2,Criminal y Correccional
101,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 1,"Comodoro Py 2002, 3º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7102 | Email: jncrimcorrfed1@pjn.gov.ar,1,Criminal y Correccional
102,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 10,"Comodoro Py 2002, 4º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7174 | Email: jncrimcorrfed10@pjn.gov.ar,1,Criminal y Correccional
103,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 11,"Comodoro Py 2002, 4º piso (C1104BEN), Ciudad Autónoma de Buenos Aires, 4032-7181 / 4032-7182",Email: jncrimcorrfed11@pjn.gov.ar,1,Criminal y Correccional
104,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 12,"Comodoro Py 2002, 4º piso (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7190 | Email: jncrimcorrfed12@pjn.gov.ar,1,Criminal y Correccional
105,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 2,"Comodoro Py 2002, 3º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7110 | Email: jncrimcorrfed2@pjn.gov.ar,1,Criminal y Correccional
106,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 3,"Comodoro Py 2002, 3º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7118 | Email: jncrimcorrfed3@pjn.gov.ar,1,Criminal y Correccional
107,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 4,"Comodoro Py 2002, 3º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7126 | Email: jncrimcorrfed4@pjn.gov.ar,1,Criminal y Correccional
108,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 5,"Comodoro Py 2002, 3º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7134 | Email: jncrimcorrfed5@pjn.gov.ar,1,Criminal y Correccional
109,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 6,"Comodoro Py 2002, 3º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7142 | Email: jncrimcorrfed6@pjn.gov.ar,1,Criminal y Correccional
110,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 7,"Comodoro Py 2002, 4° piso (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7153 | Email: jncrimcorrfed7@pjn.gov.ar,1,Criminal y Correccional
111,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 8,"Comodoro Py 2002, 4º (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7158 | Email: jncrimcorrfed8@pjn.gov.ar,1,Criminal y Correccional
112,JUZGADO CRIMINAL Y CORRECCIONAL FEDERAL 9,"Comodoro Py 2002, 4 (C1104BEN), Ciudad Autónoma de Buenos Aires",Tel: 4032-7167 | Email: jncrimcorrfed9@pjn.gov.ar,1,Criminal y Correccional
113,JUZGADO FEDERAL CRIMINAL Y CORRECCIONAL DE LOMAS DE ZAMORA 1,,,1,Criminal y Correccional
114,JUZGADO FEDERAL DE BAHIA BLANCA 1,,,1,Criminal y Correccional
